h3,species_use_log_pred,plausibility
606916319094243327,0.511782,0
606916321241726975,0.568515,0
606916399893315583,1.0657,0
606916400027533311,1.02189,0
606916400161751039,1.0613,0
606916400295968767,1.03624,0
606916400430186495,1.11527,0
606916400564404223,1.06296,0
606916400698621951,0.983531,0
606916400967057407,1.03103,0
606916401235492863,1.03947,0
606916401503928319,1.07708,0
606916401772363775,1.0195,0
606916402040799231,0.983033,0
606916402175016959,0.987411,0
606916402309234687,0.979978,0
606916402443452415,1.00128,0
606916402577670143,0.968085,0
606916402711887871,1.01561,0
606916402846105599,1.03391,0
606916403114541055,1.00148,0
606916403248758783,0.971522,0
606916403382976511,0.926696,0
606916403517194239,0.957826,0
606916403651411967,0.978574,0
606916403785629695,1.01972,0
606916403919847423,0.95049,0
606916404188282879,1.11763,0
606916404322500607,1.06537,0
606916404456718335,1.10993,0
606916404590936063,1.05034,0
606916404725153791,1.09895,0
606916404859371519,1.03234,0
606916404993589247,1.13357,0
606916405262024703,1.04803,0
606916405396242431,1.04155,0
606916405530460159,1.10935,0
606916405664677887,1.01102,0
606916405798895615,1.1082,0
606916405933113343,1.08068,0
606916406067331071,1.1375,0
606916406335766527,1.06742,0
606916406469984255,1.02103,0
606916406604201983,1.01436,0
606916406738419711,1.06054,0
606916406872637439,1.05794,0
606916407006855167,1.07495,0
606916407141072895,0.985153,0
606916417073184767,0.9642,0
606916417207402495,0.963376,0
606916417341620223,0.888055,0
606916417475837951,0.892375,0
606916417610055679,0.9974,0
606916417744273407,1.01674,0
606916417878491135,0.985876,0
606916418146926591,0.924904,0
606916418281144319,0.914031,0
606916418415362047,0.922237,0
606916418549579775,0.90598,0
606916418683797503,1.02667,0
606916418818015231,0.981445,0
606916418952232959,1.01458,0
606916419220668415,0.864988,0
606916419354886143,0.850082,0
606916419489103871,0.902273,0
606916419623321599,0.931288,0
606916419757539327,0.852431,0
606916419891757055,0.848704,0
606916420025974783,0.945758,0
606916420294410239,0.87693,0
606916420428627967,0.867514,0
606916420562845695,0.914674,0
606916420697063423,0.867153,0
606916420831281151,0.870004,0
606916420965498879,0.854554,0
606916421099716607,0.886055,0
606916421368152063,1.06977,0
606916421502369791,1.05965,0
606916421636587519,1.03288,0
606916421770805247,1.05225,0
606916421905022975,0.990403,0
606916422039240703,1.02385,0
606916422173458431,1.04926,0
606916422441893887,1.03775,0
606916422576111615,1.06729,0
606916422710329343,1.04422,0
606916422844547071,1.0608,0
606916422978764799,1.00543,0
606916423112982527,1.07387,0
606916423247200255,0.996937,0
606916423515635711,0.939937,0
606916423649853439,0.952715,0
606916423784071167,0.864072,0
606916423918288895,0.893603,0
606916424052506623,0.996024,0
606916424186724351,1.02927,0
606916424320942079,0.975074,0
606916425663119359,0.944826,0
606916425931554815,0.869175,0
606916426199990271,0.985188,0
606916426468425727,0.914784,0
606916427810603007,0.919502,0
606916428079038463,0.914105,0
606916428347473919,0.893458,0
606916428615909375,0.902979,0
606916429958086655,0.923127,0
606916430092304383,1.00525,0
606916430226522111,0.900583,0
606916430360739839,0.909057,0
606916430494957567,0.94571,0
606916430629175295,0.960496,0
606916430763393023,0.959665,0
606916431837134847,0.955358,0
606916432105570303,0.843698,0
606916432239788031,0.85018,0
606916432374005759,0.849735,0
606916432508223487,0.843623,0
606916432642441215,0.874402,0
606916432776658943,0.851507,0
606916432910876671,0.864044,0
606916434253053951,1.14376,0
606916434387271679,1.08459,0
606916434521489407,1.06028,0
606916434655707135,1.10433,0
606916434789924863,1.0711,0
606916434924142591,1.10132,0
606916435058360319,1.02867,0
606916435326795775,1.14466,0
606916435461013503,1.06454,0
606916435595231231,1.13679,0
606916435729448959,1.09079,0
606916435863666687,1.07792,0
606916435997884415,1.09036,0
606916436132102143,1.10386,0
606916436400537599,1.07989,0
606916436534755327,1.12269,0
606916436668973055,1.09381,0
606916436803190783,1.10047,0
606916436937408511,1.1185,0
606916437071626239,1.09514,0
606916437205843967,1.10728,0
606916437474279423,1.12241,0
606916437608497151,1.14916,0
606916437742714879,1.10597,0
606916437876932607,1.13895,0
606916438011150335,1.12516,0
606916438145368063,1.15926,0
606916438279585791,1.11298,0
606916438548021247,1.04193,0
606916438682238975,1.04378,0
606916438816456703,1.05939,0
606916438950674431,1.01745,0
606916439084892159,1.04544,0
606916439219109887,1.02973,0
606916439353327615,1.06712,0
606916439621763071,1.059,0
606916439755980799,1.01095,0
606916439890198527,1.10048,0
606916440024416255,1.04179,0
606916440158633983,1.03212,0
606916440292851711,1.00105,0
606916440427069439,1.04743,0
606916440695504895,1.06485,0
606916440829722623,1.10188,0
606916440963940351,1.12121,0
606916441098158079,1.10691,0
606916441232375807,1.0211,0
606916441366593535,1.04012,0
606916441500811263,1.07619,0
606916445258907647,1.02307,0
606916445795778559,1.04545,0
606916447137955839,1.10663,0
606916447406391295,1.10116,0
606916447540609023,1.07419,0
606916447674826751,1.04404,0
606916447943262207,1.08632,0
606916449285439487,1.15168,0
606916449419657215,1.11499,0
606916449553874943,1.10625,0
606916449688092671,1.1208,0
606916449822310399,1.03858,0
606916449956528127,1.10749,0
606916450090745855,1.08856,0
606916451432923135,0.996553,0
606916451567140863,0.997752,0
606916451701358591,1.03867,0
606916451835576319,1.01137,0
606916451969794047,1.02571,0
606916452104011775,1.02474,0
606916452238229503,1.01756,0
606916452506664959,1.10743,0
606916452640882687,0.997548,0
606916452775100415,1.11143,0
606916452909318143,1.07452,0
606916453043535871,1.12269,0
606916453177753599,1.05925,0
606916453311971327,1.09376,0
606916453580406783,1.01367,0
606916453714624511,1.02028,0
606916453848842239,1.00468,0
606916453983059967,0.989693,0
606916454117277695,1.01096,0
606916454251495423,1.01515,0
606916454385713151,1.05191,0
606916454654148607,1.04702,0
606916454788366335,1.00784,0
606916454922584063,1.04001,0
606916455056801791,1.06319,0
606916455191019519,0.996747,0
606916455325237247,1.07377,0
606916455459454975,0.977042,0
606916455727890431,1.08024,0
606916455862108159,1.09394,0
606916455996325887,1.04396,0
606916456130543615,1.03487,0
606916456264761343,1.13822,0
606916456398979071,1.12651,0
606916456533196799,1.06749,0
606916456801632255,1.14324,0
606916456935849983,1.10888,0
606916457070067711,1.11227,0
606916457204285439,1.07927,0
606916457338503167,1.16541,0
606916457472720895,1.08823,0
606916457606938623,1.19063,0
606916457875374079,1.03328,0
606916458009591807,1.03729,0
606916458143809535,1.03682,0
606916458278027263,1.03044,0
606916458412244991,1.01135,0
606916458546462719,0.995138,0
606916458680680447,1.03768,0
606916537332269055,0.666662,0
606916537466486783,0.682251,0
606916537600704511,0.635356,0
606916537734922239,0.636481,0
606916537869139967,0.780407,0
606916538003357695,0.785126,0
606916538137575423,0.682759,0
606916538406010879,0.796894,0
606916538540228607,0.792049,0
606916538674446335,0.697882,0
606916538808664063,0.709598,0
606916538942881791,0.823863,0
606916539077099519,0.839677,0
606916539211317247,0.77205,0
606916539479752703,0.604018,0
606916539613970431,0.581695,0
606916539748188159,0.536165,0
606916539882405887,0.549159,0
606916540016623615,0.665585,0
606916540150841343,0.620385,0
606916540285059071,0.589403,0
606916540553494527,0.605369,0
606916540687712255,0.611498,0
606916540821929983,0.577259,0
606916540956147711,0.586133,0
606916541090365439,0.63621,0
606916541224583167,0.662014,0
606916541358800895,0.625232,0
606916541627236351,0.838196,0
606916541761454079,0.907352,0
606916541895671807,0.759437,0
606916542029889535,0.774792,0
606916542164107263,0.846667,0
606916542298324991,0.852301,0
606916542432542719,0.768561,0
606916542700978175,0.861514,0
606916542835195903,0.871598,0
606916542969413631,0.87616,0
606916543103631359,0.868325,0
606916543237849087,0.839598,0
606916543372066815,0.860754,0
606916543506284543,0.892732,0
606916543774719999,0.66109,0
606916543908937727,0.653904,0
606916544043155455,0.638081,0
606916544177373183,0.650758,0
606916544311590911,0.718685,0
606916544445808639,0.691203,0
606916544580026367,0.678758,0
606916550217170943,0.899405,0
606916550485606399,0.827978,0
606916550619824127,0.895748,0
606916550754041855,0.929066,0
606916550888259583,0.967795,0
606916551022477311,0.868389,0
606916552364654591,0.651726,0
606916552633090047,0.619931,0
606916552767307775,0.635345,0
606916552901525503,0.728631,0
606916553035743231,0.802546,0
606916553169960959,0.658636,0
606916554512138239,0.539746,0
606916554646355967,0.512791,0
606916554780573695,0.539977,0
606916554914791423,0.529057,0
606916555049009151,0.576828,0
606916555183226879,0.573469,0
606916555317444607,0.51829,0
606916555585880063,0.51708,0
606916555720097791,0.513739,0
606916555854315519,0.52015,0
606916555988533247,0.498519,0
606916556122750975,0.517684,0
606916556256968703,0.516487,0
606916556391186431,0.550634,0
606916556659621887,0.570332,0
606916556793839615,0.577719,0
606916556928057343,0.566715,0
606916557062275071,0.561545,0
606916557196492799,0.565102,0
606916557330710527,0.542549,0
606916557464928255,0.560309,0
606916557733363711,0.54154,0
606916557867581439,0.551939,0
606916558001799167,0.524391,0
606916558136016895,0.534857,0
606916558270234623,0.52262,0
606916558404452351,0.523674,0
606916558538670079,0.539412,0
606916558807105535,0.552807,0
606916558941323263,0.565005,0
606916559075540991,0.525121,0
606916559209758719,0.574189,0
606916559343976447,0.522861,0
606916559478194175,0.564506,0
606916559612411903,0.506617,0
606916559880847359,0.526656,0
606916560015065087,0.535419,0
606916560149282815,0.562717,0
606916560283500543,0.540104,0
606916560417718271,0.552113,0
606916560551935999,0.58016,0
606916560686153727,0.573142,0
606916560954589183,0.551148,0
606916561088806911,0.537627,0
606916561223024639,0.539587,0
606916561357242367,0.569231,0
606916561491460095,0.501285,0
606916561625677823,0.533603,0
606916561759895551,0.501126,0
606916563102072831,0.538195,0
606916563236290559,0.554762,0
606916563370508287,0.531525,0
606916563504726015,0.548084,0
606916563638943743,0.495579,0
606916563773161471,0.525571,0
606916563907379199,0.524634,0
606916565249556479,0.500938,0
606916565383774207,0.491054,0
606916565517991935,0.519676,0
606916565652209663,0.523018,0
606916565786427391,0.551544,0
606916565920645119,0.511037,0
606916566054862847,0.544401,0
606916567128604671,0.489786,0
606916567397040127,0.542241,0
606916567531257855,0.518427,0
606916567665475583,0.57208,0
606916567799693311,0.522045,0
606916567933911039,0.570796,0
606916568068128767,0.54676,0
606916568202346495,0.561936,0
606916568470781951,0.558485,0
606916568604999679,0.57503,0
606916568739217407,0.549348,0
606916568873435135,0.572038,0
606916569007652863,0.581632,0
606916569141870591,0.611894,0
606916569276088319,0.555099,0
606916569544523775,0.516935,0
606916569678741503,0.504877,0
606916569812959231,0.556601,0
606916569947176959,0.550385,0
606916570081394687,0.531978,0
606916570215612415,0.512431,0
606916570349830143,0.533575,0
606916571692007423,0.882443,0
606916571826225151,0.850481,0
606916571960442879,0.882629,0
606916572094660607,0.882432,0
606916572228878335,0.903219,0
606916572363096063,0.916439,0
606916572497313791,0.836973,0
606916572765749247,0.904425,0
606916572899966975,0.911343,0
606916573034184703,0.885024,0
606916573168402431,0.883079,0
606916573302620159,0.915863,0
606916573436837887,0.918242,0
606916573571055615,0.890102,0
606916573839491071,0.883572,0
606916573973708799,0.872238,0
606916574107926527,0.80235,0
606916574242144255,0.84078,0
606916574376361983,0.855634,0
606916574510579711,0.86842,0
606916574644797439,0.851403,0
606916574913232895,0.876437,0
606916575047450623,0.90711,0
606916575181668351,0.845454,0
606916575315886079,0.816724,0
606916575450103807,0.890617,0
606916575584321535,0.883308,0
606916575718539263,0.874232,0
606916575986974719,0.894122,0
606916576121192447,0.946053,0
606916576255410175,0.867706,0
606916576389627903,0.850866,0
606916576523845631,0.931203,0
606916576658063359,0.957732,0
606916576792281087,0.917307,0
606916577060716543,0.928337,0
606916577194934271,0.932609,0
606916577329151999,0.910302,0
606916577463369727,0.915126,0
606916577597587455,0.947642,0
