h3,species_use_log_pred,plausibility
606916319094243327,0.0702381,0
606916321241726975,0.0510659,0
606916399893315583,0.0166679,0
606916400027533311,0.0162222,0
606916400161751039,0.015501,0
606916400295968767,0.0169779,0
606916400430186495,0.0161114,0
606916400564404223,0.0148378,0
606916400698621951,0.0160779,0
606916400967057407,0.0217258,0
606916401235492863,0.0166475,0
606916401503928319,0.0198136,0
606916401772363775,0.0174196,0
606916402040799231,0.018221,0
606916402175016959,0.0171383,0
606916402309234687,0.0183779,0
606916402443452415,0.0184114,0
606916402577670143,0.0193288,0
606916402711887871,0.0183872,0
606916402846105599,0.0181686,0
606916403114541055,0.0182905,0
606916403248758783,0.0235259,0
606916403382976511,0.0161356,0
606916403517194239,0.0176224,0
606916403651411967,0.0183787,0
606916403785629695,0.0199833,0
606916403919847423,0.0181775,0
606916404188282879,0.0161896,0
606916404322500607,0.0161668,0
606916404456718335,0.0160429,0
606916404590936063,0.0165504,0
606916404725153791,0.0171805,0
606916404859371519,0.0161307,0
606916404993589247,0.015264,0
606916405262024703,0.0146406,0
606916405396242431,0.0182829,0
606916405530460159,0.013418,0
606916405664677887,0.0168797,0
606916405798895615,0.0171659,0
606916405933113343,0.0153121,0
606916406067331071,0.0161198,0
606916406335766527,0.0195378,0
606916406469984255,0.0205968,0
606916406604201983,0.0200501,0
606916406738419711,0.0181742,0
606916406872637439,0.0187311,0
606916407006855167,0.0204205,0
606916407141072895,0.0205861,0
606916417073184767,0.0194802,0
606916417207402495,0.0189203,0
606916417341620223,0.0177638,0
606916417475837951,0.0157568,0
606916417610055679,0.0234667,0
606916417744273407,0.0212872,0
606916417878491135,0.0202836,0
606916418146926591,0.0156857,0
606916418281144319,0.0137751,0
606916418415362047,0.0174693,0
606916418549579775,0.0164523,0
606916418683797503,0.0185977,0
606916418818015231,0.0190489,0
606916418952232959,0.0206849,0
606916419220668415,0.0146526,0
606916419354886143,0.0137525,0
606916419489103871,0.0134128,0
606916419623321599,0.0122338,0
606916419757539327,0.0164299,0
606916419891757055,0.015984,0
606916420025974783,0.0148242,0
606916420294410239,0.0138724,0
606916420428627967,0.0131999,0
606916420562845695,0.0136255,0
606916420697063423,0.0111785,0
606916420831281151,0.0156742,0
606916420965498879,0.0166488,0
606916421099716607,0.0158243,0
606916421368152063,0.0253624,0
606916421502369791,0.0232766,0
606916421636587519,0.0252782,0
606916421770805247,0.0236847,0
606916421905022975,0.0255951,0
606916422039240703,0.0224557,0
606916422173458431,0.0271744,0
606916422441893887,0.0210355,0
606916422576111615,0.0189197,0
606916422710329343,0.024666,0
606916422844547071,0.0209955,0
606916422978764799,0.0222598,0
606916423112982527,0.0199027,0
606916423247200255,0.0240914,0
606916423515635711,0.0175671,0
606916423649853439,0.018389,0
606916423784071167,0.016909,0
606916423918288895,0.0162946,0
606916424052506623,0.023924,0
606916424186724351,0.0234426,0
606916424320942079,0.0207899,0
606916425663119359,0.0127469,0
606916425931554815,0.0141542,0
606916426199990271,0.0142507,0
606916426468425727,0.0131725,0
606916427810603007,0.0102717,0
606916428079038463,0.01026,0
606916428347473919,0.0125289,0
606916428615909375,0.0109955,0
606916429958086655,0.014682,0
606916430092304383,0.0139311,0
606916430226522111,0.0129099,0
606916430360739839,0.0119179,0
606916430494957567,0.0176321,0
606916430629175295,0.0167683,0
606916430763393023,0.015496,0
606916431837134847,0.0178166,0
606916432105570303,0.0136442,0
606916432239788031,0.0123668,0
606916432374005759,0.0145028,0
606916432508223487,0.010534,0
606916432642441215,0.0138103,0
606916432776658943,0.0129754,0
606916432910876671,0.0140742,0
606916434253053951,0.0195822,0
606916434387271679,0.0190831,0
606916434521489407,0.0204292,0
606916434655707135,0.0227268,0
606916434789924863,0.0202115,0
606916434924142591,0.0213858,0
606916435058360319,0.0191735,0
606916435326795775,0.0161159,0
606916435461013503,0.0136732,0
606916435595231231,0.0177182,0
606916435729448959,0.0169929,0
606916435863666687,0.0187847,0
606916435997884415,0.0176531,0
606916436132102143,0.019826,0
606916436400537599,0.0164021,0
606916436534755327,0.0212014,0
606916436668973055,0.0192369,0
606916436803190783,0.0208398,0
606916436937408511,0.0202432,0
606916437071626239,0.0347891,0
606916437205843967,0.0338102,0
606916437474279423,0.0294471,0
606916437608497151,0.015042,0
606916437742714879,0.0198544,0
606916437876932607,0.0194811,0
606916438011150335,0.0195014,0
606916438145368063,0.0194131,0
606916438279585791,0.0162635,0
606916438548021247,0.0234786,0
606916438682238975,0.0205998,0
606916438816456703,0.0202464,0
606916438950674431,0.0192363,0
606916439084892159,0.0240062,0
606916439219109887,0.0288031,0
606916439353327615,0.0202084,0
606916439621763071,0.0242576,0
606916439755980799,0.0244946,0
606916439890198527,0.0209083,0
606916440024416255,0.019893,0
606916440158633983,0.0263094,0
606916440292851711,0.0227632,0
