h3,species_use_log_pred,plausibility
606916319094243327,0.527297,0
606916321241726975,0.511744,0
606916399893315583,0.873848,0
606916400027533311,0.845898,0
606916400161751039,0.812362,0
606916400295968767,0.860682,0
606916400430186495,0.857777,0
606916400564404223,0.884162,0
606916400698621951,0.80817,0
606916400967057407,0.884757,0
606916401235492863,0.887503,0
606916401503928319,0.807048,0
606916401772363775,0.833229,0
606916402040799231,0.79584,0
606916402175016959,0.85693,0
606916402309234687,0.82823,0
606916402443452415,0.845145,0
606916402577670143,0.779703,0
606916402711887871,0.812332,0
606916402846105599,0.874527,0
606916403114541055,0.85084,0
606916403248758783,0.827342,0
606916403382976511,0.832988,0
606916403517194239,0.864539,0
606916403651411967,0.806265,0
606916403785629695,0.829177,0
606916403919847423,0.801297,0
606916404188282879,0.884614,0
606916404322500607,0.808678,0
606916404456718335,0.904007,0
606916404590936063,0.835706,0
606916404725153791,0.900233,0
606916404859371519,0.827611,0
606916404993589247,0.913001,0
606916405262024703,0.800355,0
606916405396242431,0.820464,0
606916405530460159,0.816728,0
606916405664677887,0.776047,0
606916405798895615,0.883868,0
606916405933113343,0.897024,0
606916406067331071,0.848273,0
606916406335766527,0.847735,0
606916406469984255,0.852087,0
606916406604201983,0.797136,0
606916406738419711,0.871254,0
606916406872637439,0.892921,0
606916407006855167,0.851996,0
606916407141072895,0.80015,0
606916417073184767,0.810906,0
606916417207402495,0.823268,0
606916417341620223,0.798276,0
606916417475837951,0.796287,0
606916417610055679,0.863844,0
606916417744273407,0.851629,0
606916417878491135,0.863442,0
606916418146926591,0.796244,0
606916418281144319,0.787738,0
606916418415362047,0.772182,0
606916418549579775,0.747736,0
606916418683797503,0.880675,0
606916418818015231,0.816669,0
606916418952232959,0.859932,0
606916419220668415,0.748823,0
606916419354886143,0.749196,0
606916419489103871,0.764365,0
606916419623321599,0.763784,0
606916419757539327,0.810613,0
606916419891757055,0.767164,0
606916420025974783,0.7901,0
606916420294410239,0.719232,0
606916420428627967,0.710239,0
606916420562845695,0.754697,0
606916420697063423,0.715013,0
606916420831281151,0.733193,0
606916420965498879,0.723322,0
606916421099716607,0.771281,0
606916421368152063,0.845969,0
606916421502369791,0.872106,0
606916421636587519,0.813403,0
606916421770805247,0.888063,0
606916421905022975,0.828738,0
606916422039240703,0.87388,0
606916422173458431,0.798371,0
606916422441893887,0.890672,0
606916422576111615,0.914808,0
606916422710329343,0.832972,0
606916422844547071,0.910591,0
606916422978764799,0.825433,0
606916423112982527,0.898889,0
606916423247200255,0.867691,0
606916423515635711,0.797293,0
606916423649853439,0.852584,0
606916423784071167,0.767286,0
606916423918288895,0.811365,0
606916424052506623,0.805432,0
606916424186724351,0.849727,0
606916424320942079,0.799167,0
606916425663119359,0.833549,0
606916425931554815,0.737241,0
606916426199990271,0.816157,0
606916426468425727,0.793739,0
606916427810603007,0.743806,0
606916428079038463,0.729305,0
606916428347473919,0.72186,0
606916428615909375,0.716096,0
606916429958086655,0.82906,0
606916430092304383,0.832474,0
606916430226522111,0.776314,0
606916430360739839,0.786543,0
606916430494957567,0.843547,0
606916430629175295,0.884944,0
606916430763393023,0.823874,0
606916431837134847,0.879996,0
606916432105570303,0.717515,0
606916432239788031,0.741452,0
606916432374005759,0.714031,0
606916432508223487,0.715818,0
606916432642441215,0.747242,0
606916432776658943,0.75507,0
606916432910876671,0.725552,0
606916434253053951,0.880498,0
606916434387271679,0.887347,0
606916434521489407,0.865252,0
606916434655707135,0.856576,0
606916434789924863,0.850804,0
606916434924142591,0.849594,0
606916435058360319,0.850782,0
606916435326795775,0.842399,0
606916435461013503,0.819424,0
606916435595231231,0.852426,0
606916435729448959,0.902116,0
606916435863666687,0.796635,0
606916435997884415,0.832499,0
606916436132102143,0.828198,0
606916436400537599,0.8977,0
606916436534755327,0.927157,0
606916436668973055,0.89293,0
606916436803190783,0.866441,0
606916436937408511,0.9019,0
606916437071626239,0.883893,0
606916437205843967,0.915495,0
606916437474279423,0.842642,0
606916437608497151,0.941395,0
606916437742714879,0.857726,0
606916437876932607,0.861594,0
606916438011150335,0.873066,0
606916438145368063,0.923871,0
606916438279585791,0.859285,0
606916438548021247,0.859798,0
606916438682238975,0.877662,0
606916438816456703,0.891501,0
606916438950674431,0.867581,0
606916439084892159,0.797624,0
606916439219109887,0.801302,0
606916439353327615,0.833369,0
606916439621763071,0.826485,0
606916439755980799,0.818152,0
606916439890198527,0.858238,0
606916440024416255,0.786908,0
606916440158633983,0.826193,0
606916440292851711,0.81872,0
606916440427069439,0.829824,0
606916440695504895,0.865698,0
606916440829722623,0.861882,0
606916440963940351,0.919033,0
606916441098158079,0.898169,0
606916441232375807,0.846917,0
606916441366593535,0.85206,0
606916441500811263,0.85993,0
606916445258907647,0.843042,0
606916445795778559,0.900778,0
606916447137955839,0.830847,0
606916447406391295,0.827451,0
606916447540609023,0.834581,0
606916447674826751,0.848744,0
606916447943262207,0.842706,0
606916449285439487,0.901069,0
606916449419657215,0.881859,0
606916449553874943,0.917405,0
606916449688092671,0.91216,0
606916449822310399,0.825937,0
606916449956528127,0.851853,0
606916450090745855,0.892765,0
606916451432923135,0.804015,0
606916451567140863,0.815824,0
606916451701358591,0.801911,0
606916451835576319,0.797037,0
606916451969794047,0.834429,0
606916452104011775,0.833783,0
606916452238229503,0.82736,0
606916452506664959,0.878752,0
606916452640882687,0.824451,0
606916452775100415,0.875639,0
606916452909318143,0.886904,0
606916453043535871,0.891323,0
606916453177753599,0.834174,0
606916453311971327,0.894004,0
606916453580406783,0.836646,0
606916453714624511,0.818397,0
606916453848842239,0.834226,0
606916453983059967,0.82407,0
606916454117277695,0.790453,0
606916454251495423,0.803186,0
606916454385713151,0.852016,0
606916454654148607,0.86183,0
606916454788366335,0.863656,0
606916454922584063,0.811219,0
606916455056801791,0.871857,0
606916455191019519,0.803417,0
606916455325237247,0.872394,0
606916455459454975,0.772206,0
606916455727890431,0.899503,0
606916455862108159,0.898106,0
606916455996325887,0.879004,0
606916456130543615,0.842215,0
606916456264761343,0.95431,0
606916456398979071,0.942242,0
606916456533196799,0.899675,0
606916456801632255,0.930108,0
606916456935849983,0.91138,0
606916457070067711,0.910725,0
606916457204285439,0.900646,0
606916457338503167,0.93269,0
606916457472720895,0.904153,0
606916457606938623,0.94273,0
606916457875374079,0.802824,0
606916458009591807,0.805294,0
606916458143809535,0.803059,0
606916458278027263,0.791086,0
606916458412244991,0.855605,0
606916458546462719,0.838701,0
606916458680680447,0.831297,0
606916537332269055,0.642996,0
606916537466486783,0.650162,0
606916537600704511,0.632591,0
606916537734922239,0.627346,0
606916537869139967,0.705526,0
606916538003357695,0.695799,0
606916538137575423,0.657052,0
606916538406010879,0.680718,0
606916538540228607,0.676107,0
606916538674446335,0.64926,0
606916538808664063,0.651673,0
606916538942881791,0.691234,0
606916539077099519,0.710598,0
606916539211317247,0.697562,0
606916539479752703,0.628289,0
606916539613970431,0.600118,0
606916539748188159,0.589531,0
606916539882405887,0.594039,0
606916540016623615,0.637369,0
606916540150841343,0.623188,0
606916540285059071,0.633091,0
606916540553494527,0.59937,0
606916540687712255,0.588714,0
606916540821929983,0.596825,0
606916540956147711,0.597413,0
606916541090365439,0.613819,0
606916541224583167,0.612937,0
606916541358800895,0.630698,0
606916541627236351,0.71452,0
606916541761454079,0.740587,0
606916541895671807,0.682052,0
606916542029889535,0.691315,0
606916542164107263,0.703139,0
606916542298324991,0.72303,0
606916542432542719,0.678638,0
606916542700978175,0.698482,0
606916542835195903,0.731133,0
606916542969413631,0.728725,0
606916543103631359,0.716255,0
606916543237849087,0.696064,0
606916543372066815,0.749218,0
606916543506284543,0.728011,0
606916543774719999,0.622795,0
606916543908937727,0.633656,0
606916544043155455,0.627056,0
606916544177373183,0.617494,0
606916544311590911,0.674625,0
606916544445808639,0.650067,0
606916544580026367,0.640401,0
606916550217170943,0.706403,0
606916550485606399,0.701238,0
606916550619824127,0.71533,0
606916550754041855,0.730771,0
606916550888259583,0.730331,0
606916551022477311,0.722493,0
606916552364654591,0.620046,0
606916552633090047,0.608277,0
606916552767307775,0.61578,0
606916552901525503,0.659565,0
606916553035743231,0.675586,0
606916553169960959,0.622179,0
606916554512138239,0.561716,0
606916554646355967,0.560168,0
606916554780573695,0.534851,0
606916554914791423,0.537341,0
606916555049009151,0.58759,0
606916555183226879,0.586811,0
606916555317444607,0.539214,0
606916555585880063,0.598026,0
606916555720097791,0.579499,0
606916555854315519,0.583385,0
606916555988533247,0.579694,0
606916556122750975,0.602813,0
606916556256968703,0.581778,0
606916556391186431,0.582461,0
606916556659621887,0.524978,0
606916556793839615,0.530822,0
606916556928057343,0.535323,0
606916557062275071,0.545766,0
606916557196492799,0.547571,0
606916557330710527,0.513862,0
606916557464928255,0.524941,0
606916557733363711,0.538704,0
606916557867581439,0.536166,0
606916558001799167,0.523677,0
606916558136016895,0.506086,0
606916558270234623,0.577976,0
606916558404452351,0.562789,0
606916558538670079,0.527637,0
606916558807105535,0.596448,0
606916558941323263,0.606997,0
606916559075540991,0.545831,0
606916559209758719,0.597634,0
606916559343976447,0.592358,0
606916559478194175,0.618426,0
606916559612411903,0.589289,0
606916559880847359,0.593,0
606916560015065087,0.612349,0
606916560149282815,0.604187,0
606916560283500543,0.606533,0
606916560417718271,0.617231,0
606916560551935999,0.615749,0
606916560686153727,0.609856,0
606916560954589183,0.531722,0
606916561088806911,0.537473,0
606916561223024639,0.522205,0
606916561357242367,0.545547,0
606916561491460095,0.527216,0
606916561625677823,0.543992,0
606916561759895551,0.531805,0
606916563102072831,0.573614,0
606916563236290559,0.57496,0
606916563370508287,0.570954,0
606916563504726015,0.571463,0
606916563638943743,0.579243,0
606916563773161471,0.582288,0
606916563907379199,0.580941,0
606916565249556479,0.538997,0
606916565383774207,0.565892,0
606916565517991935,0.528669,0
606916565652209663,0.559168,0
606916565786427391,0.545136,0
606916565920645119,0.55279,0
606916566054862847,0.535829,0
606916567128604671,0.553578,0
606916567397040127,0.572003,0
606916567531257855,0.582091,0
606916567665475583,0.584402,0
606916567799693311,0.5604,0
606916567933911039,0.572739,0
606916568068128767,0.593865,0
606916568202346495,0.595394,0
606916568470781951,0.624035,0
606916568604999679,0.627619,0
606916568739217407,0.615561,0
606916568873435135,0.606088,0
606916569007652863,0.620746,0
606916569141870591,0.61352,0
606916569276088319,0.621985,0
606916569544523775,0.57469,0
606916569678741503,0.55921,0
606916569812959231,0.54464,0
606916569947176959,0.545473,0
606916570081394687,0.58765,0
606916570215612415,0.560778,0
606916570349830143,0.552934,0
606916571692007423,0.738807,0
606916571826225151,0.707043,0
606916571960442879,0.723259,0
606916572094660607,0.722909,0
606916572228878335,0.751133,0
606916572363096063,0.755863,0
606916572497313791,0.69742,0
606916572765749247,0.749132,0
606916572899966975,0.738504,0
606916573034184703,0.744442,0
606916573168402431,0.730052,0
606916573302620159,0.753882,0
606916573436837887,0.761384,0
606916573571055615,0.732325,0
606916573839491071,0.725812,0
606916573973708799,0.709088,0
606916574107926527,0.682024,0
606916574242144255,0.708787,0
606916574376361983,0.708601,0
606916574510579711,0.733188,0
606916574644797439,0.696335,0
606916574913232895,0.720647,0
606916575047450623,0.743233,0
606916575181668351,0.71032,0
606916575315886079,0.70891,0
606916575450103807,0.728031,0
606916575584321535,0.729489,0
606916575718539263,0.721439,0
606916575986974719,0.741063,0
606916576121192447,0.769254,0
606916576255410175,0.734743,0
606916576389627903,0.718173,0
606916576523845631,0.746882,0
606916576658063359,0.764945,0
606916576792281087,0.746203,0
606916577060716543,0.773611,0
606916577194934271,0.794133,0
606916577329151999,0.765074,0
606916577463369727,0.798144,0
606916577597587455,0.752497,0
606916577731805183,0.765109,0
606916577866022911,0.773003,0
606916578134458367,0.717079,0
606916578268676095,0.696188,0
606916578402893823,0.749771,0
606916578537111551,0.724357,0
606916578671329279,0.736294,0
606916578805547007,0.730239,0
606916578939764735,0.714768,0
606916580281942015,0.735452,0
606916580416159743,0.707567,0
