h3,species_use_log_pred,plausibility
606916319094243327,0.0563532,0
606916321241726975,0.0547913,0
606916399893315583,0.0454215,0
606916400027533311,0.0328661,0
606916400161751039,0.0400242,0
606916400295968767,0.0394325,0
606916400430186495,0.0348867,0
606916400564404223,0.0292078,0
606916400698621951,0.037616,0
606916400967057407,0.0345715,0
606916401235492863,0.028565,0
606916401503928319,0.0313717,0
606916401772363775,0.0283958,0
606916402040799231,0.0441124,0
606916402175016959,0.0461292,0
606916402309234687,0.043977,0
606916402443452415,0.0503924,0
606916402577670143,0.0424814,0
606916402711887871,0.0474351,0
606916402846105599,0.0402165,0
606916403114541055,0.0331631,0
606916403248758783,0.0388377,0
606916403382976511,0.0386758,0
606916403517194239,0.031845,0
606916403651411967,0.0323526,0
606916403785629695,0.0300795,0
606916403919847423,0.043089,0
606916404188282879,0.0293609,0
606916404322500607,0.0311893,0
606916404456718335,0.0282648,0
606916404590936063,0.0352991,0
606916404725153791,0.0245055,0
606916404859371519,0.0266388,0
606916404993589247,0.0242922,0
606916405262024703,0.0213871,0
606916405396242431,0.0267376,0
606916405530460159,0.0244688,0
606916405664677887,0.0258537,0
606916405798895615,0.0242308,0
606916405933113343,0.020838,0
606916406067331071,0.024129,0
606916406335766527,0.0453645,0
606916406469984255,0.0427771,0
606916406604201983,0.0514079,0
606916406738419711,0.04606,0
606916406872637439,0.0346512,0
606916407006855167,0.0411255,0
606916407141072895,0.0387848,0
606916417073184767,0.0424846,0
606916417207402495,0.0362695,0
606916417341620223,0.0381577,0
606916417475837951,0.0361387,0
606916417610055679,0.0387951,0
606916417744273407,0.0411941,0
606916417878491135,0.0417296,0
606916418146926591,0.0460835,0
606916418281144319,0.0484476,0
606916418415362047,0.0424167,0
606916418549579775,0.0430798,0
606916418683797503,0.0452056,0
606916418818015231,0.0476922,0
606916418952232959,0.0425896,0
606916419220668415,0.0369823,0
606916419354886143,0.0335334,0
606916419489103871,0.0425901,0
606916419623321599,0.0351443,0
606916419757539327,0.0365646,0
606916419891757055,0.0347002,0
606916420025974783,0.0368996,0
606916420294410239,0.0297762,0
606916420428627967,0.0269089,0
606916420562845695,0.0300705,0
606916420697063423,0.0295329,0
606916420831281151,0.0336001,0
606916420965498879,0.0341026,0
606916421099716607,0.0324656,0
606916421368152063,0.0386775,0
606916421502369791,0.038635,0
606916421636587519,0.0395817,0
606916421770805247,0.0358437,0
606916421905022975,0.0343035,0
606916422039240703,0.0412869,0
606916422173458431,0.0379198,0
606916422441893887,0.0406055,0
606916422576111615,0.0393653,0
606916422710329343,0.042129,0
606916422844547071,0.0400491,0
606916422978764799,0.0473693,0
606916423112982527,0.0451859,0
606916423247200255,0.0461271,0
606916423515635711,0.0367227,0
606916423649853439,0.0391157,0
606916423784071167,0.0357142,0
606916423918288895,0.0371,0
606916424052506623,0.0408884,0
606916424186724351,0.0441494,0
606916424320942079,0.0434613,0
606916425663119359,0.0301524,0
606916425931554815,0.032054,0
606916426199990271,0.0350648,0
606916426468425727,0.0386777,0
606916427810603007,0.0246871,0
606916428079038463,0.0255552,0
606916428347473919,0.0312621,0
606916428615909375,0.0282171,0
606916429958086655,0.0413838,0
606916430092304383,0.0349931,0
606916430226522111,0.0496849,0
606916430360739839,0.0381614,0
606916430494957567,0.0555349,0
606916430629175295,0.0354118,0
606916430763393023,0.0481313,0
606916431837134847,0.0322512,0
606916432105570303,0.0332949,0
606916432239788031,0.0360338,0
606916432374005759,0.0290346,0
606916432508223487,0.0332163,0
606916432642441215,0.0413869,0
606916432776658943,0.0380277,0
606916432910876671,0.033025,0
606916434253053951,0.0227291,0
606916434387271679,0.023794,0
606916434521489407,0.0238955,0
606916434655707135,0.0273445,0
606916434789924863,0.0216924,0
606916434924142591,0.0231141,0
606916435058360319,0.0222992,0
606916435326795775,0.0223509,0
606916435461013503,0.0204739,0
606916435595231231,0.0247802,0
606916435729448959,0.0229456,0
606916435863666687,0.0223054,0
606916435997884415,0.0220552,0
606916436132102143,0.022631,0
606916436400537599,0.0231957,0
606916436534755327,0.0331281,0
606916436668973055,0.032898,0
606916436803190783,0.0353992,0
606916436937408511,0.0277052,0
606916437071626239,0.0377646,0
606916437205843967,0.048926,0
606916437474279423,0.0383654,0
606916437608497151,0.0251023,0
606916437742714879,0.0301053,0
606916437876932607,0.0315069,0
606916438011150335,0.0278071,0
606916438145368063,0.0300994,0
606916438279585791,0.0223546,0
606916438548021247,0.0282328,0
606916438682238975,0.0199353,0
606916438816456703,0.0217363,0
606916438950674431,0.0226772,0
606916439084892159,0.0274798,0
606916439219109887,0.0317483,0
606916439353327615,0.0206522,0
606916439621763071,0.0313407,0
606916439755980799,0.0314663,0
606916439890198527,0.0207127,0
606916440024416255,0.0208086,0
606916440158633983,0.0267129,0
606916440292851711,0.0277358,0
606916440427069439,0.0310375,0
606916440695504895,0.0276636,0
606916440829722623,0.0252517,0
606916440963940351,0.0341806,0
606916441098158079,0.0350473,0
606916441232375807,0.0273221,0
606916441366593535,0.0275276,0
606916441500811263,0.0267047,0
606916445258907647,0.0205881,0
606916445795778559,0.0170574,0
606916447137955839,0.0165399,0
606916447406391295,0.027717,0
606916447540609023,0.0170871,0
606916447674826751,0.0306931,0
606916447943262207,0.0191231,0
606916449285439487,0.0213958,0
606916449419657215,0.0195849,0
606916449553874943,0.0206199,0
606916449688092671,0.0160048,0
606916449822310399,0.0208344,0
606916449956528127,0.0186405,0
606916450090745855,0.0233302,0
606916451432923135,0.0336961,0
606916451567140863,0.0313765,0
606916451701358591,0.0298046,0
606916451835576319,0.0309221,0
606916451969794047,0.038153,0
606916452104011775,0.0485153,0
606916452238229503,0.0276953,0
606916452506664959,0.0234419,0
606916452640882687,0.0257763,0
606916452775100415,0.0286746,0
606916452909318143,0.0282352,0
606916453043535871,0.0280462,0
606916453177753599,0.0274357,0
606916453311971327,0.0318968,0
606916453580406783,0.0376826,0
606916453714624511,0.03579,0
606916453848842239,0.0407442,0
606916453983059967,0.0390022,0
606916454117277695,0.0318649,0
606916454251495423,0.0313468,0
606916454385713151,0.0343419,0
606916454654148607,0.0342529,0
606916454788366335,0.0375051,0
606916454922584063,0.0341312,0
606916455056801791,0.0412738,0
606916455191019519,0.030528,0
606916455325237247,0.0309062,0
606916455459454975,0.0334874,0
606916455727890431,0.042661,0
606916455862108159,0.0326778,0
606916455996325887,0.03576,0
606916456130543615,0.0424461,0
606916456264761343,0.0377652,0
606916456398979071,0.0313551,0
606916456533196799,0.0435763,0
606916456801632255,0.0305358,0
606916456935849983,0.0345572,0
606916457070067711,0.0406142,0
606916457204285439,0.0353438,0
606916457338503167,0.0376009,0
606916457472720895,0.0476722,0
606916457606938623,0.0279252,0
606916457875374079,0.0292922,0
606916458009591807,0.03473,0
606916458143809535,0.0354985,0
606916458278027263,0.0346113,0
606916458412244991,0.0301183,0
606916458546462719,0.0311622,0
606916458680680447,0.0410548,0
606916537332269055,0.0375769,0
606916537466486783,0.0365096,0
606916537600704511,0.0383358,0
606916537734922239,0.0388231,0
606916537869139967,0.0404758,0
606916538003357695,0.0365073,0
606916538137575423,0.03805,0
606916538406010879,0.0357532,0
606916538540228607,0.0341676,0
606916538674446335,0.0404258,0
606916538808664063,0.0420325,0
606916538942881791,0.0369082,0
606916539077099519,0.033082,0
606916539211317247,0.0361599,0
606916539479752703,0.0369237,0
606916539613970431,0.0376756,0
606916539748188159,0.0409016,0
606916539882405887,0.0377823,0
606916540016623615,0.0397221,0
606916540150841343,0.0347511,0
606916540285059071,0.0405639,0
606916540553494527,0.0466044,0
606916540687712255,0.0516036,0
606916540821929983,0.0451599,0
606916540956147711,0.0514321,0
606916541090365439,0.0429124,0
606916541224583167,0.0511892,0
606916541358800895,0.0379229,0
606916541627236351,0.0417996,0
606916541761454079,0.0434279,0
606916541895671807,0.0424293,0
606916542029889535,0.0410029,0
606916542164107263,0.0365205,0
606916542298324991,0.0388447,0
606916542432542719,0.0453157,0
606916542700978175,0.0321434,0
606916542835195903,0.0335061,0
606916542969413631,0.0420894,0
606916543103631359,0.0378402,0
606916543237849087,0.0351578,0
606916543372066815,0.0323372,0
606916543506284543,0.0375478,0
606916543774719999,0.0440528,0
606916543908937727,0.0373751,0
606916544043155455,0.044155,0
606916544177373183,0.0423925,0
606916544311590911,0.0430543,0
606916544445808639,0.0414755,0
606916544580026367,0.0432109,0
606916550217170943,0.0332832,0
606916550485606399,0.0321088,0
606916550619824127,0.0322205,0
606916550754041855,0.0300237,0
606916550888259583,0.0279503,0
606916551022477311,0.0342146,0
606916552364654591,0.0435107,0
606916552633090047,0.0458727,0
606916552767307775,0.0444659,0
606916552901525503,0.0365005,0
606916553035743231,0.0329375,0
606916553169960959,0.0509138,0
606916554512138239,0.0531413,0
606916554646355967,0.0543562,0
606916554780573695,0.0486887,0
606916554914791423,0.047677,0
606916555049009151,0.0523041,0
606916555183226879,0.0527847,0
606916555317444607,0.0452242,0
606916555585880063,0.0486099,0
606916555720097791,0.0460626,0
606916555854315519,0.0526394,0
606916555988533247,0.0493117,0
606916556122750975,0.0430553,0
606916556256968703,0.0376212,0
606916556391186431,0.0526554,0
606916556659621887,0.0561145,0
606916556793839615,0.0564672,0
606916556928057343,0.0546847,0
606916557062275071,0.0605577,0
606916557196492799,0.0496621,0
606916557330710527,0.0546661,0
606916557464928255,0.0519191,0
606916557733363711,0.0534087,0
